Name,NominalX,NominalY,NominalZ,ActualX,ActualY,ActualZ,DevX,DevY,DevZ,Dev3D
P6_FL_H1,-7.5736,17.2696,-64.0085,-7.5736,17.2696,-64.0085,0.0000,0.0000,0.0000,
P6_FL_H2,-5.0054,13.8397,-64.0083,-5.0054,13.8397,-64.0083,0.0000,0.0000,0.0000,
P6_FL_H3,-7.4719,10.3234,-64.0061,-7.4719,10.3234,-64.0061,0.0000,0.0000,0.0000,
P6_FL_H4,-11.5765,11.5981,-64.0027,-11.5765,11.5981,-64.0027,0.0000,0.0000,0.0000,
P6_FL_H5,-11.6195,15.8927,-64.0045,-11.6195,15.8927,-64.0045,0.0000,0.0000,0.0000,
P6_NL_H1,-7.8141,17.1240,-64.0181,-7.8141,17.1240,-64.0181,0.0000,0.0000,0.0000,
P6_NL_H2,-5.2140,13.7188,-64.0196,-5.2140,13.7188,-64.0196,0.0000,0.0000,0.0000,
P6_NL_H3,-7.6478,10.1824,-64.0273,-7.6478,10.1824,-64.0273,0.0000,0.0000,0.0000,
P6_NL_H4,-11.7660,11.4228,-64.0291,-11.7660,11.4228,-64.0291,0.0000,0.0000,0.0000,
P6_NL_H5,-11.8439,15.7168,-64.0233,-11.8439,15.7168,-64.0233,0.0000,0.0000,0.0000,
P7_FL_H1,-16.4385,9.2286,-64.0536,-16.4385,9.2286,-64.0536,0.0000,0.0000,0.0000,
P7_FL_H2,-12.3287,8.0132,-64.0490,-12.3287,8.0132,-64.0490,0.0000,0.0000,0.0000,
P7_FL_H3,-12.2038,3.7222,-64.0552,-12.2038,3.7222,-64.0552,0.0000,0.0000,0.0000,
P7_FL_H4,-16.2565,2.2900,-64.0628,-16.2565,2.2900,-64.0628,0.0000,0.0000,0.0000,
P7_FL_H5,-18.8557,5.7086,-64.0616,-18.8557,5.7086,-64.0616,0.0000,0.0000,0.0000,
P7_NL_H1,-16.2540,9.4542,-64.0226,-16.2540,9.4542,-64.0226,0.0000,0.0000,0.0000,
P7_NL_H2,-12.1554,8.2020,-64.0241,-12.1554,8.2020,-64.0241,0.0000,0.0000,0.0000,
P7_NL_H3,-12.0721,3.9093,-64.0237,-12.0721,3.9093,-64.0237,0.0000,0.0000,0.0000,
